SUB_TITULO,ANO_APLICACION,ORDEN_FORMULARIO,TIPO_FORMULARIO,ESTADO_REGISTRO,CLASIFICACION,ABREVIATURA,TITULO,PERIODO,FORMULARIO_ID
 ,2026,002,E, ,A|B|C|D|E,3B,3B. INFORMACIÓN SOBRE LA RECAUDACIÓN DE IMPUESTO PREDIAL (INSOLUTO),1,8
 ,2026,003,E, ,A|B|C|D|E,3C,3C. INFORMACIÓN SOBRE SALDOS POR COBRAR DEL MONTO INSOLUTO DE IMPUESTO PREDIAL,1,9
 ,2026,004,E, ,A|B|C|D|E,3D,3D. INFORMACIÓN SOBRE LA EMISIÓN FINAL TOTAL DEL IMPUESTO PREDIAL,1,10
 ,2026,005,E, ,A|B|C|D|E,3E,3E. INFORMACIÓN SOBRE LOS CONTRIBUYENTES CON BENEFICIO TRIBUTARIO,1,11
 ,2026,001,E, ,A|B|C|D|E,4A,4A. TIPOS DE ARBITRIOS MUNICIPALES QUE SE RECAUDA.,1,12
 ,2026,002,E, ,A|B|C|D|E,4B,4B. EMISIÓN INICIAL DE ARBITRIOS MUNICIPALES CORRIENTE.,1,13
 ,2026,003,E, ,A|B|C|D|E,4C,4C. RECAUDACIÓN DE ARBITRIOS MUNICIPALES.,1,14
 ,2026,004,E, ,A|B|C|D|E,4D,4D. INFORMACIÓN SOBRE LA EMISIÓN FINAL TOTAL DE ARBITRIOS MUNICIPALES CORRIENTE,1,15
 ,2026,005,E, ,A|B|C|D|E,4E,4E. INFORMACIÓN SOBRE SALDOS POR COBRAR DEL MONTO INSOLUTO DE ARBITRIOS MUNICIPALES,1,16
 ,2024,001,E, ,A|B|C|D|E,3A,3A. INFORMACIÓN SOBRE LA EMISIÓN INICIAL TOTAL DE IMPUESTO PREDIAL,1,6
 ,2024,002,E, ,A|B|C|D|E,3B,3B. INFORMACIÓN SOBRE LA RECAUDACIÓN DE IMPUESTO PREDIAL (INSOLUTO + REAJUSTE),1,7
 ,2024,003,E, ,A|B|C|D|E,3C,3C. INFORMACIÓN SOBRE SALDOS POR COBRAR DEL MONTO INSOLUTO DEL IMPUESTO PREDIAL,1,8
 ,2024,004,E, ,A|B|C|D|E,3D,3D. INFORMACIÓN SOBRE LA EMISIÓN FINAL TOTAL DE IMPUESTO PREDIAL,1,9
 ,2024,001,E, ,A|B|C|D|E,4A,4A. TIPOS DE ARBITRIOS QUE LA MUNICIPALIDAD RECAUDA,1,10
 ,2024,002,E, ,A|B|C|D|E,4B,4B. EMISIÓN INICIAL DE ARBITRIOS MUNICIPALES CORRIENTE,1,11
 ,2024,003,E, ,A|B|C|D|E,4C,4C. RECAUDACIÓN TOTAL DE ARBITRIOS MUNICIPALES,1,12
 ,2025,001,E, ,A|B|C|D|E,3A,3A. INFORMACIÓN SOBRE LA EMISIÓN INICIAL TOTAL DE IMPUESTO PREDIAL,1,6
 ,2025,002,E, ,A|B|C|D|E,3B,3B. INFORMACIÓN SOBRE LA RECAUDACIÓN DE IMPUESTO PREDIAL (INSOLUTO + REAJUSTE),1,7
 ,2025,003,E, ,A|B|C|D|E,3C,3C. INFORMACIÓN SOBRE SALDOS POR COBRAR DEL MONTO INSOLUTO DEL IMPUESTO PREDIAL,1,8
 ,2025,004,E, ,A|B|C|D|E,3D,3D. INFORMACIÓN SOBRE LA EMISIÓN FINAL TOTAL DE IMPUESTO PREDIAL,1,9
 ,2025,005,E, ,A|B|C|D|E,3E,3E. INFORMACIÓN SOBRE LOS CONTRIBUYENTES CON BENEFICIO TRIBUTARIO,1,10
 ,2025,001,E, ,A|B|C|D|E,4A,4A. TIPOS DE ARBITRIOS MUNICIPALES QUE SE RECAUDA.,1,11
 ,2025,002,E, ,A|B|C|D|E,4B,4B. EMISIÓN INICIAL DE ARBITRIOS MUNICIPALES CORRIENTE.,1,12
 ,2025,003,E, ,A|B|C|D|E,4C,4C. RECAUDACIÓN DE ARBITRIOS MUNICIPALES.,1,13
El responsable de la ATM debe responder cada pregunta según la información al 31 de diciembre de 2024.,2024,001,C, ,A|B|C|D|E|F|G,2A,2A. ASPECTOS GENERALES,2,1
 ,2024,002,C, ,A|B|C|D|E|F|G,2B,2B. MACROPROCESO DE REGISTRO Y DETERMINACIÓN DE LA DEUDA,2,2
 ,2024,003,C, ,A|B|C|D|E|F|G,2C,2C. MACROPROCESO DE NOTIFICACIONES,2,3
 ,2024,004,C, ,A|B|C|D|E|F|G,2D,2D. MACROPROCESO DE GESTIÓN DE CUENTA,2,4
 ,2024,005,C, ,A|B|C|D|E|F|G,2E,2E. MACROPROCESO DE TESORERÍA Y PAGO,2,5
 ,2023,001,E, ,A|B|C|D|E,3A,3A. INFORMACIÓN SOBRE LA EMISIÓN INICIAL TOTAL DE IMPUESTO PREDIAL,2,6
 ,2023,002,E, ,A|B|C|D|E,3B,3B. INFORMACIÓN SOBRE LA RECAUDACIÓN DE IMPUESTO PREDIAL (INSOLUTO + REAJUSTE),2,7
 ,2023,003,E, ,A|B|C|D|E,3C,3C. INFORMACIÓN SOBRE SALDOS POR COBRAR DEL MONTO INSOLUTO DE IMPUESTO PREDIAL,2,8
 ,2023,004,E, ,A|B|C|D|E,3D,3D. INFORMACIÓN SOBRE LA EMISIÓN FINAL TOTAL DE IMPUESTO PREDIAL,2,9
El responsable de la ATM debe responder cada pregunta según la información del 1 de enero al 30 de junio de 2022. (I semestre),2023,001,C, ,A|B|C|D|E,2A,2A. ASPECTOS GENERALES,2,1
 ,2023,002,C, ,A|B|C|D|E,2B,2B. MACROPROCESO DE REGISTRO Y DETERMINACIÓN DE LA DEUDA,2,2
 ,2023,003,C, ,A|B|C|D|E,2C,2C. MACROPROCESO DE NOTIFICACIONES,2,3
 ,2023,004,C, ,A|B|C|D|E,2D,2D. MACROPROCESO DE GESTIÓN DE CUENTA,2,4
 ,2023,005,C, ,A|B|C|D|E,2E,2E. MACROPROCESO DE TESORERÍA Y PAGO,2,5
 ,2024,001,E, ,A|B|C|D|E,4A,4A. TIPOS DE ARBITRIOS QUE LA MUNICIPALIDAD RECAUDA,2,10
 ,2024,002,E, ,A|B|C|D|E,4B,4B. EMISIÓN INICIAL DE ARBITRIOS MUNICIPALES CORRIENTE,2,11
 ,2024,003,E, ,A|B|C|D|E,4C,4C. RECAUDACIÓN  DE ARBITRIOS MUNICIPALES,2,12
 ,2024,004,E, ,A|B|C|D|E,4D,4D. INFORMACIÓN SOBRE LA EMISIÓN FINAL TOTAL DE ARBITRIOS MUNICIPALES CORRIENTE,2,13
 ,2024,005,E, ,A|B|C|D|E,4E,4E. INFORMACIÓN SOBRE SALDOS POR COBRAR DEL MONTO INSOLUTO DE ARBITRIOS MUNICIPALES,2,14
 ,2024,001,E, ,A|B|C|D|E,3A,3A. INFORMACIÓN SOBRE LA EMISIÓN INICIAL TOTAL DE IMPUESTO PREDIAL,2,6
 ,2024,002,E, ,A|B|C|D|E,3B,3B. INFORMACIÓN SOBRE LA RECAUDACIÓN DEL IMPUESTO PREDIAL (INSOLUTO + REAJUSTE),2,7
 ,2024,003,E, ,A|B|C|D|E,3C,3C. INFORMACIÓN SOBRE SALDOS POR COBRAR DEL MONTO INSOLUTO DEL IMPUESTO PREDIAL,2,8
 ,2024,004,E, ,A|B|C|D|E,3D,3D. INFORMACIÓN SOBRE LA EMISIÓN FINAL TOTAL DEL IMPUESTO PREDIAL,2,9
 ,2025,001,E, ,A|B|C|D|E,3A,3A. INFORMACIÓN SOBRE LA EMISIÓN INICIAL TOTAL DE IMPUESTO PREDIAL,2,7
 ,2025,002,E, ,A|B|C|D|E,3B,3B. INFORMACIÓN SOBRE LA RECAUDACIÓN DE IMPUESTO PREDIAL (INSOLUTO),2,8
 ,2025,003,E, ,A|B|C|D|E,3C,3C. INFORMACIÓN SOBRE SALDOS POR COBRAR DEL MONTO INSOLUTO DE IMPUESTO PREDIAL,2,9
 ,2025,004,E, ,A|B|C|D|E,3D,3D. INFORMACIÓN SOBRE LA EMISIÓN FINAL TOTAL DEL IMPUESTO PREDIAL,2,10
 ,2025,005,E, ,A|B|C|D|E,3E,3E. INFORMACIÓN SOBRE LOS CONTRIBUYENTES CON BENEFICIO TRIBUTARIO,2,11
El responsable de la ATM debe responder cada pregunta según la información al 05 de enero de 2026.,2025,001,C, ,A|B|C|D|E|F|G,2A,2A. ASPECTOS GENERALES,2,1
 ,2025,002,C, ,A|B|C|D|E|F|G,2B,2B. MACROPROCESO DE REGISTRO Y DETERMINACIÓN DE LA DEUDA,2,2
 ,2025,003,C, ,A|B|C|D|E|F|G,2C,2C. MACROPROCESO DE NOTIFICACIONES,2,3
 ,2025,004,C, ,A|B|C|D|E|F|G,2D,2D. MACROPROCESO DE GESTIÓN DE CUENTA,2,4
 ,2025,005,C, ,A|B|C|D|E|F|G,2E,2E. MACROPROCESO DE TESORERÍA Y PAGO,2,5
 ,2025,006,C, ,A|B|C|D|E|F|G,2F,2F. INFORMACIÓN SOBRE ORDENANZA DE ARBITRIOS MUNICIPALES,2,6
