PLIEGO_NOMBRE,DEPARTAMENTO_EJECUTORA,SECTOR,DISTRITO_EJECUTORA,MONTO_RECAUDADO,PROVINCIA_EJECUTORA_NOMBRE,ANO_DOC,ESPECIFICA_NOMBRE,SUBGENERICA_DET_NOMBRE,PROVINCIA_EJECUTORA,NIVEL_GOBIERNO_NOMBRE,MES_DOC,NIVEL_GOBIERNO,DEPARTAMENTO_EJECUTORA_NOMBRE,SEC_EJEC,RUBRO_NOMBRE,SUBGENERICA_DET,RUBRO,GENERICA,TIPO_RECURSO_NOMBRE,EJECUTORA_NOMBRE,SUBGENERICA,MONTO_PIA,FUENTE_FINANCIAMIENTO_NOMBRE,ESPECIFICA_DET_NOMBRE,TIPO_RECURSO,SECTOR_NOMBRE,SUBGENERICA_NOMBRE,EJECUTORA,PLIEGO,FUENTE_FINANCIAMIENTO,DISTRITO_EJECUTORA_NOMBRE,MONTO_PIM,ESPECIFICA,GENERICA_NOMBRE,ESPECIFICA_DET
MANCOMUNIDAD REGIONAL DE LOS ANDES,15,98,31,0,LIMA,2022,DE OTRAS UNIDADES DE GOBIERNO,DE OTRAS UNIDADES DE GOBIERNO,01,GOBIERNOS REGIONALES,1,R,LIMA,360001,DONACIONES Y TRANSFERENCIAS,3,13,4,NORMAL,MANCOMUNIDAD REGIONAL DE LOS ANDES,2,0,DONACIONES Y TRANSFERENCIAS,DE LOS GOBIERNOS REGIONALES,0,MANCOMUNIDADES REGIONALES,DONACIONES DE CAPITAL,001,001,4,SAN ISIDRO,0,1,DONACIONES Y TRANSFERENCIAS,2
MANCOMUNIDAD REGIONAL DE LOS ANDES,15,98,31,-21450,LIMA,2022,SALDOS DE BALANCE,SALDOS DE BALANCE,01,GOBIERNOS REGIONALES,7,R,LIMA,360001,DONACIONES Y TRANSFERENCIAS,1,13,9,TRANSFERENCIAS DE ENTIDADES DEL GOBIERNO NACIONAL Y REGIONAL,MANCOMUNIDAD REGIONAL DE LOS ANDES,1,0,DONACIONES Y TRANSFERENCIAS,SALDOS DE BALANCE,A,MANCOMUNIDADES REGIONALES,SALDOS DE BALANCE,001,001,4,SAN ISIDRO,0,1,SALDOS DE BALANCE,1
MANCOMUNIDAD REGIONAL DE LOS ANDES,15,98,31,150000,LIMA,2022,DE OTRAS UNIDADES DE GOBIERNO,DE OTRAS UNIDADES DE GOBIERNO,01,GOBIERNOS REGIONALES,9,R,LIMA,360001,DONACIONES Y TRANSFERENCIAS,3,13,4,SUBCUENTA - TRANSFERENCIAS FINANCIERAS,MANCOMUNIDAD REGIONAL DE LOS ANDES,1,0,DONACIONES Y TRANSFERENCIAS,DE LOS GOBIERNOS REGIONALES,18,MANCOMUNIDADES REGIONALES,DONACIONES Y TRANSFERENCIAS CORRIENTES,001,001,4,SAN ISIDRO,0,1,DONACIONES Y TRANSFERENCIAS,2
MANCOMUNIDAD REGIONAL DE LOS ANDES,15,98,31,0,LIMA,2022,DE OTRAS UNIDADES DE GOBIERNO,DE OTRAS UNIDADES DE GOBIERNO,01,GOBIERNOS REGIONALES,9,R,LIMA,360001,DONACIONES Y TRANSFERENCIAS,3,13,4,NORMAL,MANCOMUNIDAD REGIONAL DE LOS ANDES,1,0,DONACIONES Y TRANSFERENCIAS,DE LOS GOBIERNOS REGIONALES,0,MANCOMUNIDADES REGIONALES,DONACIONES Y TRANSFERENCIAS CORRIENTES,001,001,4,SAN ISIDRO,150000,1,DONACIONES Y TRANSFERENCIAS,2
MANCOMUNIDAD REGIONAL DE LOS ANDES,15,98,31,0,LIMA,2022,DE OTRAS UNIDADES DE GOBIERNO,DE OTRAS UNIDADES DE GOBIERNO,01,GOBIERNOS REGIONALES,6,R,LIMA,360001,DONACIONES Y TRANSFERENCIAS,3,13,4,NORMAL,MANCOMUNIDAD REGIONAL DE LOS ANDES,1,0,DONACIONES Y TRANSFERENCIAS,DE LOS GOBIERNOS REGIONALES,0,MANCOMUNIDADES REGIONALES,DONACIONES Y TRANSFERENCIAS CORRIENTES,001,001,4,SAN ISIDRO,120000,1,DONACIONES Y TRANSFERENCIAS,2
MANCOMUNIDAD REGIONAL DE LOS ANDES,15,98,31,0,LIMA,2022,DE OTRAS UNIDADES DE GOBIERNO,DE OTRAS UNIDADES DE GOBIERNO,01,GOBIERNOS REGIONALES,10,R,LIMA,360001,DONACIONES Y TRANSFERENCIAS,3,13,4,NORMAL,MANCOMUNIDAD REGIONAL DE LOS ANDES,2,0,DONACIONES Y TRANSFERENCIAS,DE LOS GOBIERNOS REGIONALES,0,MANCOMUNIDADES REGIONALES,DONACIONES DE CAPITAL,001,001,4,SAN ISIDRO,3945309,1,DONACIONES Y TRANSFERENCIAS,2
MANCOMUNIDAD REGIONAL DE LOS ANDES,15,98,31,0,LIMA,2022,SALDOS DE BALANCE,SALDOS DE BALANCE,01,GOBIERNOS REGIONALES,6,R,LIMA,360001,DONACIONES Y TRANSFERENCIAS,1,13,9,NORMAL,MANCOMUNIDAD REGIONAL DE LOS ANDES,1,0,DONACIONES Y TRANSFERENCIAS,SALDOS DE BALANCE,0,MANCOMUNIDADES REGIONALES,SALDOS DE BALANCE,001,001,4,SAN ISIDRO,0,1,SALDOS DE BALANCE,1
MANCOMUNIDAD REGIONAL DE LOS ANDES,15,98,31,120000,LIMA,2022,DE OTRAS UNIDADES DE GOBIERNO,DE OTRAS UNIDADES DE GOBIERNO,01,GOBIERNOS REGIONALES,6,R,LIMA,360001,DONACIONES Y TRANSFERENCIAS,3,13,4,SUBCUENTA - TRANSFERENCIAS FINANCIERAS,MANCOMUNIDAD REGIONAL DE LOS ANDES,1,0,DONACIONES Y TRANSFERENCIAS,DE LOS GOBIERNOS REGIONALES,18,MANCOMUNIDADES REGIONALES,DONACIONES Y TRANSFERENCIAS CORRIENTES,001,001,4,SAN ISIDRO,0,1,DONACIONES Y TRANSFERENCIAS,2
MANCOMUNIDAD REGIONAL DE LOS ANDES,15,98,31,12536852,LIMA,2022,DE OTRAS UNIDADES DE GOBIERNO,DE OTRAS UNIDADES DE GOBIERNO,01,GOBIERNOS REGIONALES,7,R,LIMA,360001,DONACIONES Y TRANSFERENCIAS,3,13,4,SUBCUENTA - TRANSFERENCIAS FINANCIERAS,MANCOMUNIDAD REGIONAL DE LOS ANDES,2,0,DONACIONES Y TRANSFERENCIAS,DE LOS GOBIERNOS REGIONALES,18,MANCOMUNIDADES REGIONALES,DONACIONES DE CAPITAL,001,001,4,SAN ISIDRO,0,1,DONACIONES Y TRANSFERENCIAS,2
MANCOMUNIDAD REGIONAL DE LOS ANDES,15,98,31,0,LIMA,2022,SANCIONES ADMINISTRATIVAS,SANCIONES,01,GOBIERNOS REGIONALES,1,R,LIMA,360001,RECURSOS DIRECTAMENTE RECAUDADOS,2,09,5,NORMAL,MANCOMUNIDAD REGIONAL DE LOS ANDES,2,0,RECURSOS DIRECTAMENTE RECAUDADOS,OTRAS SANCIONES,0,MANCOMUNIDADES REGIONALES,MULTAS Y SANCIONES NO TRIBUTARIAS,001,001,2,SAN ISIDRO,0,1,OTROS INGRESOS,99
MANCOMUNIDAD REGIONAL DE LOS ANDES,15,98,31,-97.01,LIMA,2022,SALDOS DE BALANCE,SALDOS DE BALANCE,01,GOBIERNOS REGIONALES,7,R,LIMA,360001,DONACIONES Y TRANSFERENCIAS,1,13,9,NORMAL,MANCOMUNIDAD REGIONAL DE LOS ANDES,1,0,DONACIONES Y TRANSFERENCIAS,SALDOS DE BALANCE,0,MANCOMUNIDADES REGIONALES,SALDOS DE BALANCE,001,001,4,SAN ISIDRO,0,1,SALDOS DE BALANCE,1
MANCOMUNIDAD REGIONAL DE LOS ANDES,15,98,31,11445745,LIMA,2022,SALDOS DE BALANCE,SALDOS DE BALANCE,01,GOBIERNOS REGIONALES,1,R,LIMA,360001,DONACIONES Y TRANSFERENCIAS,1,13,9,SUBCUENTA - TRANSFERENCIAS FINANCIERAS,MANCOMUNIDAD REGIONAL DE LOS ANDES,1,0,DONACIONES Y TRANSFERENCIAS,SALDOS DE BALANCE,18,MANCOMUNIDADES REGIONALES,SALDOS DE BALANCE,001,001,4,SAN ISIDRO,0,1,SALDOS DE BALANCE,1
MANCOMUNIDAD REGIONAL HUANCAVELICA - ICA,09,98,01,0,HUANCAVELICA,2022,SALDOS DE BALANCE,SALDOS DE BALANCE,01,GOBIERNOS REGIONALES,1,R,HUANCAVELICA,360002,DONACIONES Y TRANSFERENCIAS,1,13,9,NORMAL,MANCOMUNIDAD REGIONAL HUANCAVELICA - ICA,1,0,DONACIONES Y TRANSFERENCIAS,SALDOS DE BALANCE,0,MANCOMUNIDADES REGIONALES,SALDOS DE BALANCE,002,002,4,HUANCAVELICA,14,1,SALDOS DE BALANCE,1
MANCOMUNIDAD REGIONAL HUANCAVELICA - ICA,09,98,01,13.80,HUANCAVELICA,2022,SALDOS DE BALANCE,SALDOS DE BALANCE,01,GOBIERNOS REGIONALES,1,R,HUANCAVELICA,360002,DONACIONES Y TRANSFERENCIAS,1,13,9,SUBCUENTA - TRANSFERENCIAS FINANCIERAS,MANCOMUNIDAD REGIONAL HUANCAVELICA - ICA,1,0,DONACIONES Y TRANSFERENCIAS,SALDOS DE BALANCE,18,MANCOMUNIDADES REGIONALES,SALDOS DE BALANCE,002,002,4,HUANCAVELICA,0,1,SALDOS DE BALANCE,1
GOBIERNO REGIONAL DEL DEPARTAMENTO DE AMAZONAS,01,99,01,884.62,CHACHAPOYAS,2022,REGISTROS Y LICENCIAS,DERECHOS ADMINISTRATIVOS GENERALES,01,GOBIERNOS REGIONALES,12,R,AMAZONAS,721,RECURSOS DIRECTAMENTE RECAUDADOS,1,09,3,NORMAL,REGION AMAZONAS-SEDE CENTRAL,2,0,RECURSOS DIRECTAMENTE RECAUDADOS,OTROS REGISTROS,0,GOBIERNOS REGIONALES,DERECHOS Y TASAS ADMINISTRATIVOS,001,440,2,CHACHAPOYAS,0,1,VENTA DE BIENES Y SERVICIOS Y DERECHOS ADMINISTRATIVOS,99
GOBIERNO REGIONAL DEL DEPARTAMENTO DE AMAZONAS,01,99,01,1362.88,CHACHAPOYAS,2022,OTROS DERECHOS ADMINISTRATIVOS,OTROS DERECHOS ADMINISTRATIVOS,01,GOBIERNOS REGIONALES,7,R,AMAZONAS,721,RECURSOS DIRECTAMENTE RECAUDADOS,10,09,3,NORMAL,REGION AMAZONAS-SEDE CENTRAL,2,0,RECURSOS DIRECTAMENTE RECAUDADOS,CERTIFICACIONES DIVERSAS,0,GOBIERNOS REGIONALES,DERECHOS Y TASAS ADMINISTRATIVOS,001,440,2,CHACHAPOYAS,0,1,VENTA DE BIENES Y SERVICIOS Y DERECHOS ADMINISTRATIVOS,5
GOBIERNO REGIONAL DEL DEPARTAMENTO DE AMAZONAS,01,99,01,93.90,CHACHAPOYAS,2022,DERECHOS ADMINISTRATIVOS DE INDUSTRIA Y COMERCIO,DERECHOS ADMINISTRATIVOS DE INDUSTRIA Y COMERCIO,01,GOBIERNOS REGIONALES,2,R,AMAZONAS,721,RECURSOS DIRECTAMENTE RECAUDADOS,9,09,3,NORMAL,REGION AMAZONAS-SEDE CENTRAL,2,0,RECURSOS DIRECTAMENTE RECAUDADOS,OTROS DERECHOS ADMINISTRATIVOS DE INDUSTRIA Y COMERCIO,0,GOBIERNOS REGIONALES,DERECHOS Y TASAS ADMINISTRATIVOS,001,440,2,CHACHAPOYAS,0,1,VENTA DE BIENES Y SERVICIOS Y DERECHOS ADMINISTRATIVOS,99
