"VARIABLE","TIPO_DATO","DESCRIPCION"
"ANO_APLICACION","Numérico","Año de aplicación."
"ANO_APLICACION_INICIO","Numérico","Año inicio desde cuando se inicia a registrar la información."
"ANO_APLICACION_FIN","Numérico","Año fin desde cuando se inicia a registrar la información."
"FECHA_CIERRE","Fecha","Fecha de cierre"
"ESTADO","Carácter","Estado del registro: A: Activo y I: Inactivo."
"PERIODO","Numérico","Periodo."
"FECHA_PRES_OFICIO","Fecha","Fecha de presentación de oficio"
"FECHA_INI_CIERRE","Fecha","Fecha de inicio de cierre"
"FECHA_ING","Fecha","Fecha de registro"
