ESPECIFICA,ANO_DOC,RUBRO_NOMBRE,PROVINCIA_EJECUTORA_NOMBRE,SEC_EJEC,ESPECIFICA_DET_NOMBRE,MONTO_PIA,MONTO_PIM,RUBRO,SUBGENERICA_DET,GENERICA,SECTOR,SUBGENERICA_DET_NOMBRE,ESPECIFICA_DET,TIPO_RECURSO,DEPARTAMENTO_EJECUTORA_NOMBRE,SUBGENERICA_NOMBRE,SECTOR_NOMBRE,NIVEL_GOBIERNO_NOMBRE,MONTO_RECAUDADO,MES_DOC,EJECUTORA,GENERICA_NOMBRE,PROVINCIA_EJECUTORA,NIVEL_GOBIERNO,FUENTE_FINANCIAMIENTO_NOMBRE,FUENTE_FINANCIAMIENTO,PLIEGO,ESPECIFICA_NOMBRE,PLIEGO_NOMBRE,DEPARTAMENTO_EJECUTORA,DISTRITO_EJECUTORA_NOMBRE,TIPO_RECURSO_NOMBRE,EJECUTORA_NOMBRE,SUBGENERICA,DISTRITO_EJECUTORA
1,2024,DONACIONES Y TRANSFERENCIAS,HUAYLAS,744,DEL GOBIERNO NACIONAL,0,0,13,3,4,99,DE OTRAS UNIDADES DE GOBIERNO,1,0,ANCASH,DONACIONES Y TRANSFERENCIAS CORRIENTES,GOBIERNOS REGIONALES,GOBIERNOS REGIONALES,0,1,405,DONACIONES Y TRANSFERENCIAS,12,R,DONACIONES Y TRANSFERENCIAS,4,441,DE OTRAS UNIDADES DE GOBIERNO,GOBIERNO REGIONAL DEL DEPARTAMENTO DE ANCASH,02,CARAZ,NORMAL,REGION ANCASH-SALUD CARAZ,1,01
1,2024,RECURSOS DIRECTAMENTE RECAUDADOS,HUAYLAS,744,ATENCION MEDICA,0,0,09,4,3,99,SERVICIOS DE SALUD,1,7,ANCASH,VENTA DE SERVICIOS,GOBIERNOS REGIONALES,GOBIERNOS REGIONALES,1260,8,405,VENTA DE BIENES Y SERVICIOS Y DERECHOS ADMINISTRATIVOS,12,R,RECURSOS DIRECTAMENTE RECAUDADOS,2,441,SERVICIOS MEDICOS - ASISTENCIALES,GOBIERNO REGIONAL DEL DEPARTAMENTO DE ANCASH,02,CARAZ,SUB CUENTA - RECURSOS DIRECTAMENTE RECAUDADOS,REGION ANCASH-SALUD CARAZ,3,01
1,2024,"CANON Y SOBRECANON, REGALIAS, RENTA DE ADUANAS Y PARTICIPACIONES",HUAYLAS,744,INTERESES POR DEPOSITOS DISTINTOS DE RECURSOS POR PRIVATIZACION Y CONCESIONES,0,0,18,1,5,99,RENTAS DE LA PROPIEDAD FINANCIERA,1,H,ANCASH,RENTAS DE LA PROPIEDAD,GOBIERNOS REGIONALES,GOBIERNOS REGIONALES,195.5,2,405,OTROS INGRESOS,12,R,RECURSOS DETERMINADOS,5,441,INTERESES,GOBIERNO REGIONAL DEL DEPARTAMENTO DE ANCASH,02,CARAZ,SUB CUENTA - CANON MINERO,REGION ANCASH-SALUD CARAZ,1,01
1,2024,RECURSOS DIRECTAMENTE RECAUDADOS,HUAYLAS,744,PASES SANITARIOS,0,0,09,4,3,99,DERECHOS ADMINISTRATIVOS DE SALUD,5,7,ANCASH,DERECHOS Y TASAS ADMINISTRATIVOS,GOBIERNOS REGIONALES,GOBIERNOS REGIONALES,180,7,405,VENTA DE BIENES Y SERVICIOS Y DERECHOS ADMINISTRATIVOS,12,R,RECURSOS DIRECTAMENTE RECAUDADOS,2,441,DERECHOS ADMINISTRATIVOS DE SALUD,GOBIERNO REGIONAL DEL DEPARTAMENTO DE ANCASH,02,CARAZ,SUB CUENTA - RECURSOS DIRECTAMENTE RECAUDADOS,REGION ANCASH-SALUD CARAZ,2,01
1,2024,RECURSOS DIRECTAMENTE RECAUDADOS,HUAYLAS,744,OTROS DERECHOS ADMINISTRATIVOS DE SALUD,0,0,09,4,3,99,DERECHOS ADMINISTRATIVOS DE SALUD,99,7,ANCASH,DERECHOS Y TASAS ADMINISTRATIVOS,GOBIERNOS REGIONALES,GOBIERNOS REGIONALES,6120,2,405,VENTA DE BIENES Y SERVICIOS Y DERECHOS ADMINISTRATIVOS,12,R,RECURSOS DIRECTAMENTE RECAUDADOS,2,441,DERECHOS ADMINISTRATIVOS DE SALUD,GOBIERNO REGIONAL DEL DEPARTAMENTO DE ANCASH,02,CARAZ,SUB CUENTA - RECURSOS DIRECTAMENTE RECAUDADOS,REGION ANCASH-SALUD CARAZ,2,01
1,2024,RECURSOS DIRECTAMENTE RECAUDADOS,HUAYLAS,744,OTROS SERVICIOS MEDICOS - ASISTENCIALES,0,0,09,4,3,99,SERVICIOS DE SALUD,99,7,ANCASH,VENTA DE SERVICIOS,GOBIERNOS REGIONALES,GOBIERNOS REGIONALES,98,7,405,VENTA DE BIENES Y SERVICIOS Y DERECHOS ADMINISTRATIVOS,12,R,RECURSOS DIRECTAMENTE RECAUDADOS,2,441,SERVICIOS MEDICOS - ASISTENCIALES,GOBIERNO REGIONAL DEL DEPARTAMENTO DE ANCASH,02,CARAZ,SUB CUENTA - RECURSOS DIRECTAMENTE RECAUDADOS,REGION ANCASH-SALUD CARAZ,3,01
1,2024,RECURSOS DIRECTAMENTE RECAUDADOS,HUAYLAS,744,HOSPITALIZACION,26000,26000,09,4,3,99,SERVICIOS DE SALUD,6,0,ANCASH,VENTA DE SERVICIOS,GOBIERNOS REGIONALES,GOBIERNOS REGIONALES,0,1,405,VENTA DE BIENES Y SERVICIOS Y DERECHOS ADMINISTRATIVOS,12,R,RECURSOS DIRECTAMENTE RECAUDADOS,2,441,SERVICIOS MEDICOS - ASISTENCIALES,GOBIERNO REGIONAL DEL DEPARTAMENTO DE ANCASH,02,CARAZ,NORMAL,REGION ANCASH-SALUD CARAZ,3,01
1,2024,"CANON Y SOBRECANON, REGALIAS, RENTA DE ADUANAS Y PARTICIPACIONES",HUAYLAS,744,SALDOS DE BALANCE,0,0,18,1,9,99,SALDOS DE BALANCE,1,0,ANCASH,SALDOS DE BALANCE,GOBIERNOS REGIONALES,GOBIERNOS REGIONALES,0,1,405,SALDOS DE BALANCE,12,R,RECURSOS DETERMINADOS,5,441,SALDOS DE BALANCE,GOBIERNO REGIONAL DEL DEPARTAMENTO DE ANCASH,02,CARAZ,CANON,REGION ANCASH-SALUD CARAZ,1,01
1,2024,RECURSOS DIRECTAMENTE RECAUDADOS,HUAYLAS,744,PASES SANITARIOS,0,0,09,4,3,99,DERECHOS ADMINISTRATIVOS DE SALUD,5,7,ANCASH,DERECHOS Y TASAS ADMINISTRATIVOS,GOBIERNOS REGIONALES,GOBIERNOS REGIONALES,115,9,405,VENTA DE BIENES Y SERVICIOS Y DERECHOS ADMINISTRATIVOS,12,R,RECURSOS DIRECTAMENTE RECAUDADOS,2,441,DERECHOS ADMINISTRATIVOS DE SALUD,GOBIERNO REGIONAL DEL DEPARTAMENTO DE ANCASH,02,CARAZ,SUB CUENTA - RECURSOS DIRECTAMENTE RECAUDADOS,REGION ANCASH-SALUD CARAZ,2,01
3,2024,RECURSOS DIRECTAMENTE RECAUDADOS,HUAYLAS,744,OTROS SERVICIOS DE SALUD,0,0,09,4,3,99,SERVICIOS DE SALUD,99,7,ANCASH,VENTA DE SERVICIOS,GOBIERNOS REGIONALES,GOBIERNOS REGIONALES,3193,12,405,VENTA DE BIENES Y SERVICIOS Y DERECHOS ADMINISTRATIVOS,12,R,RECURSOS DIRECTAMENTE RECAUDADOS,2,441,OTROS SERVICIOS DE SALUD,GOBIERNO REGIONAL DEL DEPARTAMENTO DE ANCASH,02,CARAZ,SUB CUENTA - RECURSOS DIRECTAMENTE RECAUDADOS,REGION ANCASH-SALUD CARAZ,3,01
1,2024,RECURSOS DIRECTAMENTE RECAUDADOS,HUAYLAS,744,CARNETS Y/O TARJETAS DE ATENCION,0,0,09,4,3,99,DERECHOS ADMINISTRATIVOS DE SALUD,6,7,ANCASH,DERECHOS Y TASAS ADMINISTRATIVOS,GOBIERNOS REGIONALES,GOBIERNOS REGIONALES,1385,6,405,VENTA DE BIENES Y SERVICIOS Y DERECHOS ADMINISTRATIVOS,12,R,RECURSOS DIRECTAMENTE RECAUDADOS,2,441,DERECHOS ADMINISTRATIVOS DE SALUD,GOBIERNO REGIONAL DEL DEPARTAMENTO DE ANCASH,02,CARAZ,SUB CUENTA - RECURSOS DIRECTAMENTE RECAUDADOS,REGION ANCASH-SALUD CARAZ,2,01
2,2024,RECURSOS DIRECTAMENTE RECAUDADOS,HUAYLAS,744,ELECTROCARDIOGRAMA,0,0,09,4,3,99,SERVICIOS DE SALUD,3,7,ANCASH,VENTA DE SERVICIOS,GOBIERNOS REGIONALES,GOBIERNOS REGIONALES,20,7,405,VENTA DE BIENES Y SERVICIOS Y DERECHOS ADMINISTRATIVOS,12,R,RECURSOS DIRECTAMENTE RECAUDADOS,2,441,EXAMENES DE LABORATORIO Y DE AYUDA AL DIAGNOSTICO,GOBIERNO REGIONAL DEL DEPARTAMENTO DE ANCASH,02,CARAZ,SUB CUENTA - RECURSOS DIRECTAMENTE RECAUDADOS,REGION ANCASH-SALUD CARAZ,3,01
2,2024,RECURSOS DIRECTAMENTE RECAUDADOS,HUAYLAS,744,EXAMENES DE LABORATORIO,0,0,09,4,3,99,SERVICIOS DE SALUD,1,7,ANCASH,VENTA DE SERVICIOS,GOBIERNOS REGIONALES,GOBIERNOS REGIONALES,1547,2,405,VENTA DE BIENES Y SERVICIOS Y DERECHOS ADMINISTRATIVOS,12,R,RECURSOS DIRECTAMENTE RECAUDADOS,2,441,EXAMENES DE LABORATORIO Y DE AYUDA AL DIAGNOSTICO,GOBIERNO REGIONAL DEL DEPARTAMENTO DE ANCASH,02,CARAZ,SUB CUENTA - RECURSOS DIRECTAMENTE RECAUDADOS,REGION ANCASH-SALUD CARAZ,3,01
1,2024,RECURSOS DIRECTAMENTE RECAUDADOS,HUAYLAS,744,CARNETS Y/O TARJETAS DE ATENCION,0,0,09,4,3,99,DERECHOS ADMINISTRATIVOS DE SALUD,6,7,ANCASH,DERECHOS Y TASAS ADMINISTRATIVOS,GOBIERNOS REGIONALES,GOBIERNOS REGIONALES,1185,7,405,VENTA DE BIENES Y SERVICIOS Y DERECHOS ADMINISTRATIVOS,12,R,RECURSOS DIRECTAMENTE RECAUDADOS,2,441,DERECHOS ADMINISTRATIVOS DE SALUD,GOBIERNO REGIONAL DEL DEPARTAMENTO DE ANCASH,02,CARAZ,SUB CUENTA - RECURSOS DIRECTAMENTE RECAUDADOS,REGION ANCASH-SALUD CARAZ,2,01
1,2024,RECURSOS DIRECTAMENTE RECAUDADOS,HUAYLAS,744,HOSPITALIZACION,0,0,09,4,3,99,SERVICIOS DE SALUD,6,7,ANCASH,VENTA DE SERVICIOS,GOBIERNOS REGIONALES,GOBIERNOS REGIONALES,3398,1,405,VENTA DE BIENES Y SERVICIOS Y DERECHOS ADMINISTRATIVOS,12,R,RECURSOS DIRECTAMENTE RECAUDADOS,2,441,SERVICIOS MEDICOS - ASISTENCIALES,GOBIERNO REGIONAL DEL DEPARTAMENTO DE ANCASH,02,CARAZ,SUB CUENTA - RECURSOS DIRECTAMENTE RECAUDADOS,REGION ANCASH-SALUD CARAZ,3,01
1,2024,"CANON Y SOBRECANON, REGALIAS, RENTA DE ADUANAS Y PARTICIPACIONES",HUAYLAS,744,INTERESES POR DEPOSITOS DISTINTOS DE RECURSOS POR PRIVATIZACION Y CONCESIONES,0,0,18,1,5,99,RENTAS DE LA PROPIEDAD FINANCIERA,1,H,ANCASH,RENTAS DE LA PROPIEDAD,GOBIERNOS REGIONALES,GOBIERNOS REGIONALES,126.14,10,405,OTROS INGRESOS,12,R,RECURSOS DETERMINADOS,5,441,INTERESES,GOBIERNO REGIONAL DEL DEPARTAMENTO DE ANCASH,02,CARAZ,SUB CUENTA - CANON MINERO,REGION ANCASH-SALUD CARAZ,1,01
1,2024,RECURSOS DIRECTAMENTE RECAUDADOS,HUAYLAS,744,SERVICIO DE EMERGENCIA,0,0,09,4,3,99,SERVICIOS DE SALUD,4,7,ANCASH,VENTA DE SERVICIOS,GOBIERNOS REGIONALES,GOBIERNOS REGIONALES,1962,10,405,VENTA DE BIENES Y SERVICIOS Y DERECHOS ADMINISTRATIVOS,12,R,RECURSOS DIRECTAMENTE RECAUDADOS,2,441,SERVICIOS MEDICOS - ASISTENCIALES,GOBIERNO REGIONAL DEL DEPARTAMENTO DE ANCASH,02,CARAZ,SUB CUENTA - RECURSOS DIRECTAMENTE RECAUDADOS,REGION ANCASH-SALUD CARAZ,3,01
1,2024,RECURSOS DIRECTAMENTE RECAUDADOS,HUAYLAS,744,CARNETS Y/O TARJETAS DE ATENCION,0,0,09,4,3,99,DERECHOS ADMINISTRATIVOS DE SALUD,6,7,ANCASH,DERECHOS Y TASAS ADMINISTRATIVOS,GOBIERNOS REGIONALES,GOBIERNOS REGIONALES,662,12,405,VENTA DE BIENES Y SERVICIOS Y DERECHOS ADMINISTRATIVOS,12,R,RECURSOS DIRECTAMENTE RECAUDADOS,2,441,DERECHOS ADMINISTRATIVOS DE SALUD,GOBIERNO REGIONAL DEL DEPARTAMENTO DE ANCASH,02,CARAZ,SUB CUENTA - RECURSOS DIRECTAMENTE RECAUDADOS,REGION ANCASH-SALUD CARAZ,2,01
1,2024,RECURSOS DIRECTAMENTE RECAUDADOS,HUAYLAS,744,SERVICIO DE TOPICO,0,0,09,4,3,99,SERVICIOS DE SALUD,7,7,ANCASH,VENTA DE SERVICIOS,GOBIERNOS REGIONALES,GOBIERNOS REGIONALES,665,5,405,VENTA DE BIENES Y SERVICIOS Y DERECHOS ADMINISTRATIVOS,12,R,RECURSOS DIRECTAMENTE RECAUDADOS,2,441,SERVICIOS MEDICOS - ASISTENCIALES,GOBIERNO REGIONAL DEL DEPARTAMENTO DE ANCASH,02,CARAZ,SUB CUENTA - RECURSOS DIRECTAMENTE RECAUDADOS,REGION ANCASH-SALUD CARAZ,3,01
1,2024,"CANON Y SOBRECANON, REGALIAS, RENTA DE ADUANAS Y PARTICIPACIONES",HUAYLAS,744,DE FONDOS PUBLICOS,0,0,18,3,4,99,DE OTRAS UNIDADES DE GOBIERNO,5,19,ANCASH,DONACIONES Y TRANSFERENCIAS CORRIENTES,GOBIERNOS REGIONALES,GOBIERNOS REGIONALES,188999,8,405,DONACIONES Y TRANSFERENCIAS,12,R,RECURSOS DETERMINADOS,5,441,DE OTRAS UNIDADES DE GOBIERNO,GOBIERNO REGIONAL DEL DEPARTAMENTO DE ANCASH,02,CARAZ,SUB CUENTA - PARTICIPACIONES FED,REGION ANCASH-SALUD CARAZ,1,01
1,2024,RECURSOS DIRECTAMENTE RECAUDADOS,HUAYLAS,744,PASES SANITARIOS,0,0,09,4,3,99,DERECHOS ADMINISTRATIVOS DE SALUD,5,7,ANCASH,DERECHOS Y TASAS ADMINISTRATIVOS,GOBIERNOS REGIONALES,GOBIERNOS REGIONALES,277,11,405,VENTA DE BIENES Y SERVICIOS Y DERECHOS ADMINISTRATIVOS,12,R,RECURSOS DIRECTAMENTE RECAUDADOS,2,441,DERECHOS ADMINISTRATIVOS DE SALUD,GOBIERNO REGIONAL DEL DEPARTAMENTO DE ANCASH,02,CARAZ,SUB CUENTA - RECURSOS DIRECTAMENTE RECAUDADOS,REGION ANCASH-SALUD CARAZ,2,01
