EJECUTORA_NOMBRE,ANO_DOC,NIVEL_GOBIERNO_NOMBRE,EJECUTORA,PLIEGO,SUBGENERICA_NOMBRE,MES_DOC,PROVINCIA_EJECUTORA_NOMBRE,RUBRO_NOMBRE,DISTRITO_EJECUTORA,SECTOR_NOMBRE,FUENTE_FINANCIAMIENTO,SUBGENERICA_DET_NOMBRE,SUBGENERICA,DISTRITO_EJECUTORA_NOMBRE,DEPARTAMENTO_EJECUTORA,NIVEL_GOBIERNO,MONTO_PIM,DEPARTAMENTO_EJECUTORA_NOMBRE,SUBGENERICA_DET,ESPECIFICA_NOMBRE,ESPECIFICA,FUENTE_FINANCIAMIENTO_NOMBRE,PLIEGO_NOMBRE,PROVINCIA_EJECUTORA,ESPECIFICA_DET_NOMBRE,SECTOR,TIPO_RECURSO,GENERICA,RUBRO,TIPO_RECURSO_NOMBRE,MONTO_RECAUDADO,ESPECIFICA_DET,SEC_EJEC,GENERICA_NOMBRE,MONTO_PIA
REGION AREQUIPA-SALUD CAMANA,2026,GOBIERNOS REGIONALES,403,443,DONACIONES Y TRANSFERENCIAS CORRIENTES,1,CAMANA,DONACIONES Y TRANSFERENCIAS,01,GOBIERNOS REGIONALES,4,DE OTRAS UNIDADES DE GOBIERNO,1,CAMANA,04,R,2524392,AREQUIPA,3,DE OTRAS UNIDADES DE GOBIERNO,1,DONACIONES Y TRANSFERENCIAS,GOBIERNO REGIONAL DEL DEPARTAMENTO DE AREQUIPA,02,DEL GOBIERNO NACIONAL,99,0,4,13,NORMAL,0,1,768,DONACIONES Y TRANSFERENCIAS,0
REGION AREQUIPA-SALUD CAMANA,2026,GOBIERNOS REGIONALES,403,443,VENTA DE SERVICIOS,2,CAMANA,RECURSOS DIRECTAMENTE RECAUDADOS,01,GOBIERNOS REGIONALES,2,SERVICIOS DE SALUD,3,CAMANA,04,R,0,AREQUIPA,4,SERVICIOS MEDICOS - ASISTENCIALES,1,RECURSOS DIRECTAMENTE RECAUDADOS,GOBIERNO REGIONAL DEL DEPARTAMENTO DE AREQUIPA,02,HOSPITALIZACION,99,2,3,09,OTRAS CTAS RECAUD,27260.81,6,768,VENTA DE BIENES Y SERVICIOS Y DERECHOS ADMINISTRATIVOS,0
REGION AREQUIPA-SALUD CAMANA,2026,GOBIERNOS REGIONALES,403,443,RENTAS DE LA PROPIEDAD,3,CAMANA,"CANON Y SOBRECANON, REGALIAS, RENTA DE ADUANAS Y PARTICIPACIONES",01,GOBIERNOS REGIONALES,5,RENTAS DE LA PROPIEDAD FINANCIERA,1,CAMANA,04,R,0,AREQUIPA,1,INTERESES,1,RECURSOS DETERMINADOS,GOBIERNO REGIONAL DEL DEPARTAMENTO DE AREQUIPA,02,INTERESES POR DEPOSITOS DISTINTOS DE RECURSOS POR PRIVATIZACION Y CONCESIONES,99,H,5,18,SUB CUENTA - CANON MINERO,13.23,1,768,OTROS INGRESOS,0
REGION AREQUIPA-SALUD CAMANA,2026,GOBIERNOS REGIONALES,403,443,VENTA DE SERVICIOS,4,CAMANA,RECURSOS DIRECTAMENTE RECAUDADOS,01,GOBIERNOS REGIONALES,2,SERVICIOS DE SALUD,3,CAMANA,04,R,0,AREQUIPA,4,EXAMENES DE LABORATORIO Y DE AYUDA AL DIAGNOSTICO,2,RECURSOS DIRECTAMENTE RECAUDADOS,GOBIERNO REGIONAL DEL DEPARTAMENTO DE AREQUIPA,02,ELECTROCARDIOGRAMA,99,7,3,09,SUB CUENTA - RECURSOS DIRECTAMENTE RECAUDADOS,375,3,768,VENTA DE BIENES Y SERVICIOS Y DERECHOS ADMINISTRATIVOS,0
REGION AREQUIPA-SALUD CAMANA,2026,GOBIERNOS REGIONALES,403,443,VENTA DE SERVICIOS,1,CAMANA,RECURSOS DIRECTAMENTE RECAUDADOS,01,GOBIERNOS REGIONALES,2,SERVICIOS DE SALUD,3,CAMANA,04,R,51566,AREQUIPA,4,SERVICIOS MEDICOS - ASISTENCIALES,1,RECURSOS DIRECTAMENTE RECAUDADOS,GOBIERNO REGIONAL DEL DEPARTAMENTO DE AREQUIPA,02,ATENCION MEDICA,99,0,3,09,NORMAL,0,1,768,VENTA DE BIENES Y SERVICIOS Y DERECHOS ADMINISTRATIVOS,51566
REGION AREQUIPA-SALUD CAMANA,2026,GOBIERNOS REGIONALES,403,443,VENTA DE SERVICIOS,1,CAMANA,RECURSOS DIRECTAMENTE RECAUDADOS,01,GOBIERNOS REGIONALES,2,SERVICIOS DE SALUD,3,CAMANA,04,R,113181,AREQUIPA,4,EXAMENES DE LABORATORIO Y DE AYUDA AL DIAGNOSTICO,2,RECURSOS DIRECTAMENTE RECAUDADOS,GOBIERNO REGIONAL DEL DEPARTAMENTO DE AREQUIPA,02,EXAMENES DE LABORATORIO,99,0,3,09,NORMAL,0,1,768,VENTA DE BIENES Y SERVICIOS Y DERECHOS ADMINISTRATIVOS,113181
REGION AREQUIPA-SALUD CAMANA,2026,GOBIERNOS REGIONALES,403,443,RENTAS DE LA PROPIEDAD,2,CAMANA,"CANON Y SOBRECANON, REGALIAS, RENTA DE ADUANAS Y PARTICIPACIONES",01,GOBIERNOS REGIONALES,5,RENTAS DE LA PROPIEDAD FINANCIERA,1,CAMANA,04,R,0,AREQUIPA,1,INTERESES,1,RECURSOS DETERMINADOS,GOBIERNO REGIONAL DEL DEPARTAMENTO DE AREQUIPA,02,INTERESES POR DEPOSITOS DISTINTOS DE RECURSOS POR PRIVATIZACION Y CONCESIONES,99,P,5,18,SUB CUENTA - REGALIAS MINERAS,0.02,1,768,OTROS INGRESOS,0
REGION AREQUIPA-SALUD CAMANA,2026,GOBIERNOS REGIONALES,403,443,VENTA DE SERVICIOS,1,CAMANA,RECURSOS DIRECTAMENTE RECAUDADOS,01,GOBIERNOS REGIONALES,2,SERVICIOS DE SALUD,3,CAMANA,04,R,0,AREQUIPA,4,SERVICIOS MEDICOS - ASISTENCIALES,1,RECURSOS DIRECTAMENTE RECAUDADOS,GOBIERNO REGIONAL DEL DEPARTAMENTO DE AREQUIPA,02,HOSPITALIZACION,99,7,3,09,SUB CUENTA - RECURSOS DIRECTAMENTE RECAUDADOS,1008,6,768,VENTA DE BIENES Y SERVICIOS Y DERECHOS ADMINISTRATIVOS,0
REGION AREQUIPA-SALUD CAMANA,2026,GOBIERNOS REGIONALES,403,443,SALDOS DE BALANCE,1,CAMANA,"CANON Y SOBRECANON, REGALIAS, RENTA DE ADUANAS Y PARTICIPACIONES",01,GOBIERNOS REGIONALES,5,SALDOS DE BALANCE,1,CAMANA,04,R,0,AREQUIPA,1,SALDOS DE BALANCE,1,RECURSOS DETERMINADOS,GOBIERNO REGIONAL DEL DEPARTAMENTO DE AREQUIPA,02,SALDOS DE BALANCE,99,I,9,18,SUB CUENTA - CANON HIDROENERGETICO,1331.5,1,768,SALDOS DE BALANCE,0
REGION AREQUIPA-SALUD CAMANA,2026,GOBIERNOS REGIONALES,403,443,VENTA DE BIENES,2,CAMANA,RECURSOS DIRECTAMENTE RECAUDADOS,01,GOBIERNOS REGIONALES,2,VENTA DE PRODUCTOS DE SALUD,1,CAMANA,04,R,0,AREQUIPA,6,VENTA DE PRODUCTOS DE SALUD,1,RECURSOS DIRECTAMENTE RECAUDADOS,GOBIERNO REGIONAL DEL DEPARTAMENTO DE AREQUIPA,02,MEDICINAS,99,7,3,09,SUB CUENTA - RECURSOS DIRECTAMENTE RECAUDADOS,29153.95,2,768,VENTA DE BIENES Y SERVICIOS Y DERECHOS ADMINISTRATIVOS,0
